id,name,trigger_rule,total_unlocked,total_users,completion_percentage,first_unlock_at,last_unlock_at
1,Login Novice,LOGIN,8,17,47.06,2026-05-26 00:41:17.6,2026-06-07 18:42:30.18
2,Consistent Access,LOGIN,7,17,41.18,2026-05-26 00:43:57.026,2026-06-07 22:12:24.457
3,Night Watch Ready,LOGIN,7,17,41.18,2026-05-26 00:41:24.643,2026-06-07 19:52:45.011
14,Inventory Keeper,INVENTORY_ADJUST,2,17,11.76,2026-05-26 00:48:29.162,2026-06-06 08:45:42.4
13,Inventory Novice,INVENTORY_ADJUST,2,17,11.76,2026-05-26 00:48:29.047,2026-06-06 03:40:53.551
30,Control Room Presence,LOGIN,1,17,5.88,2026-06-02 02:23:22.123,2026-06-02 02:23:22.123
7,Brave Returner,EXPEDITION_RETURN,1,17,5.88,2026-06-07 21:40:21.37,2026-06-07 21:40:21.37
15,Ledger Guardian,INVENTORY_ADJUST,1,17,5.88,2026-05-26 00:48:29.275,2026-05-26 00:48:29.275
8,Brave Pathfinder,EXPEDITION_RETURN,1,17,5.88,2026-06-07 21:40:21.487,2026-06-07 21:40:21.487
50,Transit Guardian,EXPEDITION_RETURN,1,17,5.88,2026-06-07 06:59:03.044,2026-06-07 06:59:03.044
51,Scout Channel,EXPEDITION_RETURN,1,17,5.88,2026-06-07 06:59:03.174,2026-06-07 06:59:03.174
52,Journey Captain,EXPEDITION_RETURN,1,17,5.88,2026-06-07 22:07:58.235,2026-06-07 22:07:58.235
9,Brave Expedition Captain,EXPEDITION_RETURN,1,17,5.88,2026-06-07 21:40:21.592,2026-06-07 21:40:21.592
37,Manual Tally Novice,INVENTORY_ADJUST,1,17,5.88,2026-06-06 03:40:53.781,2026-06-06 03:40:53.781
38,Manual Tally Keeper,INVENTORY_ADJUST,1,17,5.88,2026-06-06 08:45:42.59,2026-06-06 08:45:42.59
28,Login Specialist,LOGIN,1,17,5.88,2026-05-26 02:35:10.089,2026-05-26 02:35:10.089
40,Supply Counter,INVENTORY_ADJUST,1,17,5.88,2026-06-07 19:01:29.94,2026-06-07 19:01:29.94
29,Command Console,LOGIN,1,17,5.88,2026-06-02 04:57:30.47,2026-06-02 04:57:30.47
27,Courier Command,TRANSFER_COMPLETE,0,17,0.00,,
31,Crisis Commander,CAMP_CREATE,0,17,0.00,,
32,Shelter Architect,CAMP_CREATE,0,17,0.00,,
33,Network Builder,CAMP_CREATE,0,17,0.00,,
34,Field Support Brave,EXPEDITION_RETURN,0,17,0.00,,
35,Scout Brave,EXPEDITION_RETURN,0,17,0.00,,
36,Camp Brave,EXPEDITION_RETURN,0,17,0.00,,
39,Stock Sentinel,INVENTORY_ADJUST,0,17,0.00,,
41,Field Logistics,EXPEDITION_FOUND_RESOURCES,0,17,0.00,,
42,Cache Builder,EXPEDITION_FOUND_RESOURCES,0,17,0.00,,
43,Recovery Haul,EXPEDITION_FOUND_RESOURCES,0,17,0.00,,
44,Medical Watch,HEALTH_DAYS,0,17,0.00,,
45,Stable Ledger,PERIODIC_CHECK,0,17,0.00,,
46,Operational Pulse,PERIODIC_CHECK,0,17,0.00,,
47,Rapid Route,TRANSFER_COMPLETE,0,17,0.00,,
48,Logistics Diplomat,TRANSFER_COMPLETE,0,17,0.00,,
49,Movement Master,TRANSFER_COMPLETE,0,17,0.00,,
53,First Acceptance,Review an admission request and accept it.,0,17,0.00,,
54,Expedition Veteran,Participate in at least two expeditions.,0,17,0.00,,
55,Supply Stabilizer,Maintain a camp resource above its minimum stock.,0,17,0.00,,
56,Transfer Coordinator,Create and complete a camp transfer.,0,17,0.00,,
4,Camp Manager Novice,CAMP_CREATE,0,17,0.00,,
5,Camp Manager Expert,CAMP_CREATE,0,17,0.00,,
6,Multi Camp Manager,CAMP_CREATE,0,17,0.00,,
10,Diplomat Novice,TRANSFER_COMPLETE,0,17,0.00,,
11,Diplomat Keeper,TRANSFER_COMPLETE,0,17,0.00,,
12,Diplomat Master,TRANSFER_COMPLETE,0,17,0.00,,
16,Resource Scout,EXPEDITION_FOUND_RESOURCES,0,17,0.00,,
17,Resource Finder,EXPEDITION_FOUND_RESOURCES,0,17,0.00,,
18,Resource Hauler,EXPEDITION_FOUND_RESOURCES,0,17,0.00,,
19,Healthy Routine,HEALTH_DAYS,0,17,0.00,,
20,Healthy Shift,HEALTH_DAYS,0,17,0.00,,
21,Healthy Watch,HEALTH_DAYS,0,17,0.00,,
22,Periodic Check Starter,PERIODIC_CHECK,0,17,0.00,,
23,Periodic Check Keeper,PERIODIC_CHECK,0,17,0.00,,
24,Periodic Check Master,PERIODIC_CHECK,0,17,0.00,,
25,First Aid Route,TRANSFER_COMPLETE,0,17,0.00,,
26,Supply Route,TRANSFER_COMPLETE,0,17,0.00,,
