achievement_id,role_id,sort_order,created_at
1,1,0,2026-05-26 00:38:30.402628
1,2,0,2026-05-26 00:38:30.496633
1,3,0,2026-05-26 00:38:30.589789
1,4,0,2026-05-26 00:38:30.683784
2,1,0,2026-05-26 00:38:30.77697
2,2,0,2026-05-26 00:38:30.870638
2,3,0,2026-05-26 00:38:30.964419
2,4,0,2026-05-26 00:38:31.057911
3,1,0,2026-05-26 00:38:31.151404
3,2,0,2026-05-26 00:38:31.24562
3,3,0,2026-05-26 00:38:31.338898
3,4,0,2026-05-26 00:38:31.431762
4,1,0,2026-05-26 00:38:31.525421
5,1,0,2026-05-26 00:38:31.618009
6,1,0,2026-05-26 00:38:31.711615
7,2,0,2026-05-26 00:38:31.804591
7,4,0,2026-05-26 00:38:31.897421
8,2,0,2026-05-26 00:38:31.990217
8,4,0,2026-05-26 00:38:32.083253
9,2,0,2026-05-26 00:38:32.17666
9,4,0,2026-05-26 00:38:32.269732
10,1,0,2026-05-26 00:38:32.36298
10,4,0,2026-05-26 00:38:32.456622
11,1,0,2026-05-26 00:38:32.549861
11,4,0,2026-05-26 00:38:32.642969
12,1,0,2026-05-26 00:38:32.740339
12,4,0,2026-05-26 00:38:32.833117
13,3,0,2026-05-26 00:38:32.925948
13,1,0,2026-05-26 00:38:33.018666
14,3,0,2026-05-26 00:38:33.111777
14,1,0,2026-05-26 00:38:33.204856
15,3,0,2026-05-26 00:38:33.297956
15,1,0,2026-05-26 00:38:33.391796
16,2,0,2026-05-26 00:38:33.485424
16,3,0,2026-05-26 00:38:33.580629
16,4,0,2026-05-26 00:38:33.674318
17,2,0,2026-05-26 00:38:33.767259
17,3,0,2026-05-26 00:38:33.860605
17,4,0,2026-05-26 00:38:33.954052
18,2,0,2026-05-26 00:38:34.047637
18,3,0,2026-05-26 00:38:34.141668
18,4,0,2026-05-26 00:38:34.234585
19,2,0,2026-05-26 00:38:34.327573
19,3,0,2026-05-26 00:38:34.42067
19,4,0,2026-05-26 00:38:34.514057
20,2,0,2026-05-26 00:38:34.607944
20,3,0,2026-05-26 00:38:34.701424
20,4,0,2026-05-26 00:38:34.79511
21,2,0,2026-05-26 00:38:34.889188
21,3,0,2026-05-26 00:38:34.982728
21,4,0,2026-05-26 00:38:35.075738
22,1,0,2026-05-26 00:38:35.169314
22,3,0,2026-05-26 00:38:35.263508
23,1,0,2026-05-26 00:38:35.356438
23,3,0,2026-05-26 00:38:35.450297
24,1,0,2026-05-26 00:38:35.54343
24,3,0,2026-05-26 00:38:35.63705
25,4,0,2026-05-26 00:38:35.731271
26,4,0,2026-05-26 00:38:35.825191
27,4,0,2026-05-26 00:38:35.918602
28,1,0,2026-05-26 00:38:36.01184
29,1,0,2026-05-26 00:38:36.105888
30,1,0,2026-05-26 00:38:36.199245
31,1,0,2026-05-26 00:38:36.292837
32,1,0,2026-05-26 00:38:36.386529
33,1,0,2026-05-26 00:38:36.480001
34,2,0,2026-05-26 00:38:36.573592
35,2,0,2026-05-26 00:38:36.666453
36,2,0,2026-05-26 00:38:36.760167
37,3,0,2026-05-26 00:38:36.853256
38,3,0,2026-05-26 00:38:36.946365
39,3,0,2026-05-26 00:38:37.039996
40,3,0,2026-05-26 00:38:37.133445
41,3,0,2026-05-26 00:38:37.226248
42,3,0,2026-05-26 00:38:37.319667
43,3,0,2026-05-26 00:38:37.412508
44,3,0,2026-05-26 00:38:37.505867
45,3,0,2026-05-26 00:38:37.59996
46,3,0,2026-05-26 00:38:37.692726
47,4,0,2026-05-26 00:38:37.787082
48,4,0,2026-05-26 00:38:37.881438
49,4,0,2026-05-26 00:38:37.974613
50,4,0,2026-05-26 00:38:38.067758
51,4,0,2026-05-26 00:38:38.160301
52,4,0,2026-05-26 00:38:38.254105
