id,name,description,icon_url,trigger_rule,created_at,deleted_at,updated_at
1,Login Novice,Unlock your first session in the system.,https://placehold.co/128x128/0f172a/f8fafc?text=LN,LOGIN,2026-05-26 00:38:25.473,,2026-05-26 00:38:25.473
2,Consistent Access,Return often and keep your account active.,https://placehold.co/128x128/0f172a/f8fafc?text=CA,LOGIN,2026-05-26 00:38:25.568,,2026-05-26 00:38:25.568
3,Night Watch Ready,Stay present when the camp needs steady hands.,https://placehold.co/128x128/0f172a/f8fafc?text=NW,LOGIN,2026-05-26 00:38:25.662,,2026-05-26 00:38:25.662
4,Camp Manager Novice,Create your first camp without hesitation.,https://placehold.co/128x128/0f172a/f8fafc?text=CM1,CAMP_CREATE,2026-05-26 00:38:25.756,,2026-05-26 00:38:25.756
5,Camp Manager Expert,Build multiple camps and keep the network growing.,https://placehold.co/128x128/0f172a/f8fafc?text=CM2,CAMP_CREATE,2026-05-26 00:38:25.849,,2026-05-26 00:38:25.849
6,Multi Camp Manager,Coordinate several camps at once with confidence.,https://placehold.co/128x128/0f172a/f8fafc?text=MCM,CAMP_CREATE,2026-05-26 00:38:25.943,,2026-05-26 00:38:25.943
7,Brave Returner,Bring a scouting team back safely.,https://placehold.co/128x128/0f172a/f8fafc?text=BR,EXPEDITION_RETURN,2026-05-26 00:38:26.038,,2026-05-26 00:38:26.038
8,Brave Pathfinder,Lead a team through danger and return intact.,https://placehold.co/128x128/0f172a/f8fafc?text=BP,EXPEDITION_RETURN,2026-05-26 00:38:26.132,,2026-05-26 00:38:26.132
9,Brave Expedition Captain,Guide repeated returns without losing momentum.,https://placehold.co/128x128/0f172a/f8fafc?text=BEC,EXPEDITION_RETURN,2026-05-26 00:38:26.226,,2026-05-26 00:38:26.226
10,Diplomat Novice,Complete your first successful transfer.,https://placehold.co/128x128/0f172a/f8fafc?text=DN,TRANSFER_COMPLETE,2026-05-26 00:38:26.319,,2026-05-26 00:38:26.319
11,Diplomat Keeper,Balance movement between camps with steady judgment.,https://placehold.co/128x128/0f172a/f8fafc?text=DK,TRANSFER_COMPLETE,2026-05-26 00:38:26.412,,2026-05-26 00:38:26.412
12,Diplomat Master,Complete several transfers without disrupting operations.,https://placehold.co/128x128/0f172a/f8fafc?text=DM,TRANSFER_COMPLETE,2026-05-26 00:38:26.507,,2026-05-26 00:38:26.507
13,Inventory Novice,Perform your first manual inventory adjustment.,https://placehold.co/128x128/0f172a/f8fafc?text=IN,INVENTORY_ADJUST,2026-05-26 00:38:26.601,,2026-05-26 00:38:26.601
14,Inventory Keeper,Keep the ledger stable through repeated adjustments.,https://placehold.co/128x128/0f172a/f8fafc?text=IK,INVENTORY_ADJUST,2026-05-26 00:38:26.694,,2026-05-26 00:38:26.694
