id,name,description,created_at,deleted_at,updated_at
1,camps.create,camps create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
2,camps.read,camps read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
3,camps.update,camps update,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
4,camps.delete,camps delete,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
5,people.create,people create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
6,people.read,people read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
7,people.update,people update,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
8,people.delete,people delete,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
9,people.status_log.create,people status log create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
10,people.profession_reassign.create,people profession reassign create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
11,people.contribution_override.create,people contribution override create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
12,resources.create,resources create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
13,resources.read,resources read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
14,resources.update,resources update,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
15,resources.delete,resources delete,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
16,professions.create,professions create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
17,professions.read,professions read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
18,professions.update,professions update,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
19,professions.delete,professions delete,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
20,users.create,users create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
21,users.read,users read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
22,users.update,users update,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
23,users.delete,users delete,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
24,inventory.read,inventory read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
25,inventory.audit.read,inventory audit read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
26,inventory.adjust,inventory adjust,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
27,admission.create,admission create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
28,admission.read,admission read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
29,admission.review,admission review,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
30,transfers.create,transfers create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
31,transfers.read,transfers read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
32,transfers.schedule,transfers schedule,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
33,transfers.approve_source,transfers approve source,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
34,transfers.approve_target,transfers approve target,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
35,transfers.complete,transfers complete,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
36,transfers.reject,transfers reject,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
37,expeditions.create,expeditions create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
38,expeditions.read,expeditions read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
39,expeditions.update,expeditions update,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
40,expeditions.update_status,expeditions update status,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
41,expeditions.delete,expeditions delete,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
42,metrics.dashboard,metrics dashboard,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
43,metrics.resources,metrics resources,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
44,metrics.people,metrics people,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
45,metrics.expeditions,metrics expeditions,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
46,roles.create,roles create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
47,roles.read,roles read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
48,roles.update,roles update,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
49,roles.delete,roles delete,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
50,permissions.create,permissions create,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
51,permissions.read,permissions read,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
52,permissions.update,permissions update,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
53,permissions.delete,permissions delete,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
54,admin.bypass_camp_scoping,admin bypass camp scoping,2026-05-26 00:38:24.871,,2026-05-26 00:38:24.871
58,inventory_adjustment_requests.create,inventory adjustment requests create,2026-06-06 05:20:31.68,,2026-06-06 05:20:31.68
59,inventory_adjustment_requests.read_own,inventory adjustment requests read own,2026-06-06 05:20:31.68,,2026-06-06 05:20:31.68
60,inventory_adjustment_requests.read,inventory adjustment requests read,2026-06-06 05:20:31.68,,2026-06-06 05:20:31.68
61,inventory_adjustment_requests.review,inventory adjustment requests review,2026-06-06 05:20:31.68,,2026-06-06 05:20:31.68
